Id	EssaySet	Score1	Score2	EssayText	
1	1	0	0	essig,wasser,behälter	
2	1	2	3	Wie viel Essig soll eingefüllt werden? Sollen die  Proben ganz eingetaucht werden? Dürfen sie der Sonne ausgesetzt sein? Welche Essigsorte soll verwendet werden?	
3	1	1	2	Man müsste auf jeden Fall wissen welche Konzentration der Essig hat, also wie hoch der Säuregehalt ist. Dann müsste man wissen wie die Proben in den Behältern gelagert werden sollen. Mit oder ohne Deckel? Kalt oder Warm?	
4	1	0	0	Glas Gummi Porzelan	
5	1	0	0	Wiederhole das gesamte Experiment. Nehme dazu neues Probenmaterial!. Beschrifte alles Neu!	
6	1	2	3	Wie viel Essig wurde verwendet? Aus welchem Material waren die Behälter? Wurden die Behälter verschlossen?	
7	1	2	2	Es muss angegeben werden, welchse Essig verwendet wurde, in welchem Behälter wurden die Proben gelagert und ob die Proben komplett trocken geworden sind.	
8	1	0	0	Wir müssen wissen, wie viel Wasser wir sammeln müssen, um die Probe zu machen	
9	1	0	0	Probe masse zu beginn masse am ende	
10	1	0	0	Ausgangsgewicht, Endgewicht, Unterschied der Masse	
11	1	0	0	ich weiß es leider nicht. das ist halt so.	
12	1	0	0	Ich kann es mir nicht bildlich vorstellen - evtl skizzen oder n comic machen	
13	1	1	0	Hilfreich wären noch Angaben zu verwendeten Messgeräten, hier Waagen. Des Weiteren sollten die Behälter genau benannt werden. Letzer Punkt der Prozedur muss ""Gewicht"" durch ""Masse"" ersetzt werden.	
14	1	2	3	- Größe der Proben; -Konzentration des Essigs; - Temperatur bei der Lagerung der Proben	
15	1	1	3	- Essigtemperatur - Essigmenge - Temperatur beim Trocknena	
16	1	3	3	Es ist die genaue Definition des Proben-Materials (z.B. was für ein Holz, was für ein Plastik?) erforderlich. Die Form der Proben muss angegeben sein (Oberflächenbeschaffenheit). Die Temperatur und der Druck während dem Experiment. Es ist die Angabe über die Konzentration des Essigs nötig.	
17	1	0	0	Ich verstehe Ihre Frage so, dass das selbe Experiment noch einmal gemacht wird. Also brauche ich wieder die Masse von Marmor, Kalkstein, Holz und Plastik zu Beginn und am Ende des Experiment. Ich brauche eine konkrete Anweisung, wie lange die Proben in den Behältern verbleiben sollen und wie lange Sie nach dem Abspülen mit destilliertem Wasser trocknen sollen.	
18	1	2	3	Reiner Essig oder Essigessenz Welche Menge Essig Welche Temperatur	
19	1	0	0	Längere Trocknungzeiten Weitere Proben: Schlamm/Lehm Wetter	
20	1	1	0	Woher stammen die Proben? Wurden die Proben vor dem Experiment mit irgendetwas behandelt? Wie genau ist die Waage?	
21	1	2	2	-Die Oberfläche der Proben -Die Temperatur unter der der Versuch durchgeführt wurde -Den Säuregehalt der Essigs (Präzisieren welcher Essig genau)	
22	1	1	2	Wie viel Essig wird benutzt Ist die Probe nach 30 Minuten genauso trocken wie zu Beginn Wie hoch ist die Raumtemperatur	
23	1	1	0	- wie lange sollen die Proben beim zweiten Versuch im Behälter liegen? - wie lange soll die Trocknung erfolgen, mehr/weniger als 30 Minuten? - nehmen wir die gleiche Sorte Essig?	
24	1	0	0	Mir scheinen sämtliche wichtige Informationen angegeben zu sein.	
25	1	0	0	Masse zu Beginn, Masse am Ende und Unterschied in Masse	
26	1	0	0	-Den Wasserverlust der einzelnen Proben nach 24 Stunden -Den Wasseranteil innerhalb der Proben -Was bewirkt Essig in den einzelnen Fällen? -Wie ist die Wechselwirkung von Essig mit den Materialien? -Wie groß ist die Aufnahmefähigkeit der Materialien von Essig?	
27	1	0	0	Masse zu Beginn Masse am Ende Unterschied der Masse	
28	1	1	2	-Es fehlt die Aussage dass in jeden Behälter eine gewisse Menge an saurem Regen hizugefpgt wird. - Es ist nicht angegeben in was für einem Gefäß das Experimant durchgeführt wird -Es fehlt ein Fazit was das Experiment bewirken soll	
29	1	2	3	Art des Plastiks Art und Trockenheitsgrad es Holzes Säurehaltigkeit des Essigs	
30	1	0	0	Die Massen müssen erneut bestimmt werden. Der Gewichtsunterschied sollte prozentual berechnet werden.	
31	1	1	1	Dichte, Temperatur, Materialbeschaffenheit	
